,state,city,building,space,capacity,url
0,NY,New York City,980 6th Avenue,936b4506-e681-4af1-91b9-c359270fdf60,2,https://www.wework.com/buildings/980-6th-avenue--new-york-city--NY/reserve/936b4506-e681-4af1-91b9-c359270fdf60
1,NY,New York City,980 6th Avenue,a49501fb-e2f9-403d-8479-965dd5def54e,2,https://www.wework.com/buildings/980-6th-avenue--new-york-city--NY/reserve/a49501fb-e2f9-403d-8479-965dd5def54e
2,NY,New York City,980 6th Avenue,6cf8b30c-9775-4707-9ec2-72e866699d30,7,https://www.wework.com/buildings/980-6th-avenue--new-york-city--NY/reserve/6cf8b30c-9775-4707-9ec2-72e866699d30
3,NY,New York City,980 6th Avenue,e7991168-4adf-4f99-84cb-284b5b95c547,7,https://www.wework.com/buildings/980-6th-avenue--new-york-city--NY/reserve/e7991168-4adf-4f99-84cb-284b5b95c547
4,NY,New York City,980 6th Avenue,6eec4f73-27a6-46c3-83fa-41a7d495009c,10,https://www.wework.com/buildings/980-6th-avenue--new-york-city--NY/reserve/6eec4f73-27a6-46c3-83fa-41a7d495009c
5,NY,New York City,980 6th Avenue,c468abe5-79af-414e-ad21-fd0d3db79234,8,https://www.wework.com/buildings/980-6th-avenue--new-york-city--NY/reserve/c468abe5-79af-414e-ad21-fd0d3db79234
6,NY,New York City,980 6th Avenue,adda2473-73fd-47a6-b0c9-5858a20bf14f,8,https://www.wework.com/buildings/980-6th-avenue--new-york-city--NY/reserve/adda2473-73fd-47a6-b0c9-5858a20bf14f
7,NY,New York City,980 6th Avenue,ae58d870-4905-4f52-8b88-e8f457e46701,14,https://www.wework.com/buildings/980-6th-avenue--new-york-city--NY/reserve/ae58d870-4905-4f52-8b88-e8f457e46701
8,NY,New York City,980 6th Avenue,f6111953-61a3-46cf-aca4-637c0e563321,20,https://www.wework.com/buildings/980-6th-avenue--new-york-city--NY/reserve/f6111953-61a3-46cf-aca4-637c0e563321
9,NY,New York City,16 E 34th St,9375696c-f573-460d-994f-ef60259bdc01,5,https://www.wework.com/buildings/16-e-34th-st--new-york-city--NY/reserve/9375696c-f573-460d-994f-ef60259bdc01
10,NY,New York City,16 E 34th St,87fd6446-f90e-4fb6-950f-12b2db0d311b,6,https://www.wework.com/buildings/16-e-34th-st--new-york-city--NY/reserve/87fd6446-f90e-4fb6-950f-12b2db0d311b
11,NY,New York City,16 E 34th St,ac5c1a72-19d6-4e61-8af9-95a3349fb56a,11,https://www.wework.com/buildings/16-e-34th-st--new-york-city--NY/reserve/ac5c1a72-19d6-4e61-8af9-95a3349fb56a
12,NY,New York City,Gotham Center,d78e26fe-ff2e-4f70-b955-6f426466e74a,1,https://www.wework.com/buildings/gotham-center--new-york-city--NY/reserve/d78e26fe-ff2e-4f70-b955-6f426466e74a
13,NY,New York City,Gotham Center,fd2dfa32-d543-43b8-b783-b9c13ce173c9,2,https://www.wework.com/buildings/gotham-center--new-york-city--NY/reserve/fd2dfa32-d543-43b8-b783-b9c13ce173c9
14,NY,New York City,Gotham Center,ef5c1e91-a92d-40e5-9377-23ce1b1ab52d,2,https://www.wework.com/buildings/gotham-center--new-york-city--NY/reserve/ef5c1e91-a92d-40e5-9377-23ce1b1ab52d
15,NY,New York City,Gotham Center,d81b6807-3496-4c39-ac70-f74dc324df53,4,https://www.wework.com/buildings/gotham-center--new-york-city--NY/reserve/d81b6807-3496-4c39-ac70-f74dc324df53
16,NY,New York City,Gotham Center,ad3f4092-fc9b-4f82-b3e1-9d715c7a5965,3,https://www.wework.com/buildings/gotham-center--new-york-city--NY/reserve/ad3f4092-fc9b-4f82-b3e1-9d715c7a5965
17,NY,New York City,Gotham Center,dfbd24e5-0920-4740-b447-9d8a9eff9b7d,4,https://www.wework.com/buildings/gotham-center--new-york-city--NY/reserve/dfbd24e5-0920-4740-b447-9d8a9eff9b7d
18,NY,New York City,Gotham Center,e0c794f0-3bf8-4bfb-8df7-5f9e13feecc5,5,https://www.wework.com/buildings/gotham-center--new-york-city--NY/reserve/e0c794f0-3bf8-4bfb-8df7-5f9e13feecc5
19,NY,New York City,Gotham Center,f9a73db5-0f27-4a5b-aa3a-28ec9af8f424,5,https://www.wework.com/buildings/gotham-center--new-york-city--NY/reserve/f9a73db5-0f27-4a5b-aa3a-28ec9af8f424
20,NY,New York City,Gotham Center,88b87555-2af1-4fef-9903-b7e0a2c0d66e,6,https://www.wework.com/buildings/gotham-center--new-york-city--NY/reserve/88b87555-2af1-4fef-9903-b7e0a2c0d66e
21,NY,New York City,Gotham Center,f4b6e410-4885-4afb-863c-4e171d8748da,6,https://www.wework.com/buildings/gotham-center--new-york-city--NY/reserve/f4b6e410-4885-4afb-863c-4e171d8748da
22,NY,New York City,Gotham Center,2348488e-bffc-4835-99d7-2602b3a6c5a7,7,https://www.wework.com/buildings/gotham-center--new-york-city--NY/reserve/2348488e-bffc-4835-99d7-2602b3a6c5a7
23,NY,New York City,Gotham Center,6df3e9a6-cdfe-4843-9afb-e073f8919439,7,https://www.wework.com/buildings/gotham-center--new-york-city--NY/reserve/6df3e9a6-cdfe-4843-9afb-e073f8919439
24,NY,New York City,Gotham Center,6e968c13-811b-42c3-8749-d4fe9d7bf28f,9,https://www.wework.com/buildings/gotham-center--new-york-city--NY/reserve/6e968c13-811b-42c3-8749-d4fe9d7bf28f
25,NY,New York City,Gotham Center,fa22133e-ed00-4865-83c5-c398c7f2452d,10,https://www.wework.com/buildings/gotham-center--new-york-city--NY/reserve/fa22133e-ed00-4865-83c5-c398c7f2452d
26,NY,New York City,Gotham Center,d9ff467f-4f79-40fa-9c0a-be8cd92f7eb7,9,https://www.wework.com/buildings/gotham-center--new-york-city--NY/reserve/d9ff467f-4f79-40fa-9c0a-be8cd92f7eb7
27,NY,New York City,Gotham Center,3fd18b66-9f0a-465a-a51c-9a7bdf90fa05,13,https://www.wework.com/buildings/gotham-center--new-york-city--NY/reserve/3fd18b66-9f0a-465a-a51c-9a7bdf90fa05
28,NY,New York City,Gotham Center,662c35d1-360d-4727-9c77-267ca8f9138f,18,https://www.wework.com/buildings/gotham-center--new-york-city--NY/reserve/662c35d1-360d-4727-9c77-267ca8f9138f
29,NY,New York City,8 W 126th St,5149d1b7-25c1-410d-a0ba-f551af1f6624,1,https://www.wework.com/buildings/8-w-126th-st--new-york-city--NY/reserve/5149d1b7-25c1-410d-a0ba-f551af1f6624
30,NY,New York City,8 W 126th St,f7e04ece-9fd3-4de0-9370-70e72b1fc470,1,https://www.wework.com/buildings/8-w-126th-st--new-york-city--NY/reserve/f7e04ece-9fd3-4de0-9370-70e72b1fc470
31,NY,New York City,8 W 126th St,ec4b6618-13eb-4928-ae6c-54f47d2b5b98,4,https://www.wework.com/buildings/8-w-126th-st--new-york-city--NY/reserve/ec4b6618-13eb-4928-ae6c-54f47d2b5b98
32,NY,New York City,8 W 126th St,1a03c73d-6f71-4426-b5da-63634ef99575,5,https://www.wework.com/buildings/8-w-126th-st--new-york-city--NY/reserve/1a03c73d-6f71-4426-b5da-63634ef99575
33,NY,New York City,8 W 126th St,c36dde44-b92e-40ce-b7cc-d9f55a6f29d0,6,https://www.wework.com/buildings/8-w-126th-st--new-york-city--NY/reserve/c36dde44-b92e-40ce-b7cc-d9f55a6f29d0
